,name,year,miles_driven,price_per_mile,mileage,selling_price,seller_type,owner,transmission,engine,torque,seats,fuel
170,Volvo XC90 T8 Excellence BSIV,2017,18641,$536.45,98.79mpg,137001.0,Individual,First Owner,Automatic,1969 CC,640Nm@ 1740rpm,4.0,Petrol
2938,BMW X7 xDrive 30d DPE,2020,3107,$2317.35,31.47mpg,98640.72,Individual,First Owner,Automatic,2993 CC,620Nm@ 1500-2500rpm,7.0,Diesel
4952,Audi A6 35 TFSI Matrix,2019,14664,$444.83,35.89mpg,89365.7523,Dealer,Test Drive Car,Automatic,1798 CC,320Nm@ 1400-4100rpm,5.0,Petrol
4950,Audi A6 35 TFSI Matrix,2019,4847,$1283.89,35.89mpg,85255.7223,Dealer,Test Drive Car,Automatic,1798 CC,320Nm@ 1400-4100rpm,5.0,Petrol
5258,Mercedes-Benz S-Class S 350 CDI,2017,22991,$260.97,31.75mpg,82200.6,Dealer,First Owner,Automatic,2987 CC,620Nm@ 1600-2400rpm,5.0,Diesel
4766,BMW 6 Series GT 630d Luxury Line,2018,16777,$357.63,40.2mpg,82200.6,Dealer,First Owner,Automatic,2993 CC,620Nm@ 2000-2500rpm,4.0,Diesel
7713,Mercedes-Benz S-Class S 350 CDI,2017,22991,$260.97,31.75mpg,82200.6,Dealer,First Owner,Automatic,2987 CC,620Nm@ 1600-2400rpm,5.0,Diesel
4101,BMW 6 Series GT 630d Luxury Line,2018,17495,$342.96,40.2mpg,82200.6,Dealer,First Owner,Automatic,2993 CC,620Nm@ 2000-2500rpm,4.0,Diesel
1071,BMW 6 Series GT 630d Luxury Line,2018,17495,$342.96,40.2mpg,82200.6,Dealer,First Owner,Automatic,2993 CC,620Nm@ 2000-2500rpm,4.0,Diesel
136,Mercedes-Benz S-Class S 350 CDI,2017,22991,$260.97,31.75mpg,82200.6,Dealer,First Owner,Automatic,2987 CC,620Nm@ 1600-2400rpm,5.0,Diesel
4951,Audi A6 35 TFSI Matrix,2019,7146,$828.86,35.89mpg,81145.6923,Dealer,Test Drive Car,Automatic,1798 CC,320Nm@ 1400-4100rpm,5.0,Petrol
148,Mercedes-Benz S-Class S 350 CDI,2017,29204,$200.32,31.75mpg,80145.58499999999,Dealer,First Owner,Automatic,2987 CC,490Nm@ 1600rpm,5.0,Diesel
6258,BMW 6 Series GT 630d Luxury Line,2018,18641,$312.75,40.2mpg,79871.583,Individual,First Owner,Automatic,2993 CC,620Nm@ 2000-2500rpm,4.0,Diesel
7596,BMW 6 Series GT 630d Luxury Line,2018,18641,$312.75,40.2mpg,79871.583,Individual,First Owner,Automatic,2993 CC,620Nm@ 2000-2500rpm,4.0,Diesel
7343,BMW X4 M Sport X xDrive20d,2019,13049,$444.48,39.47mpg,79460.58,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
139,BMW X4 M Sport X xDrive20d,2019,4660,$1244.64,39.47mpg,79460.58,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
5629,BMW X4 M Sport X xDrive20d,2019,5282,$1041.27,39.47mpg,75350.55,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
1724,BMW X4 M Sport X xDrive20d,2019,5282,$1041.27,39.47mpg,75350.55,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
4830,BMW X4 M Sport X xDrive20d,2019,5282,$1041.27,39.47mpg,75350.55,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
7873,BMW X4 M Sport X xDrive20d,2019,5282,$1041.27,39.47mpg,75350.55,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
3531,BMW X4 M Sport X xDrive20d,2019,5282,$1041.27,39.47mpg,75350.55,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
4249,BMW X4 M Sport X xDrive20d,2019,5282,$1041.27,39.47mpg,75350.55,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
1092,BMW X4 M Sport X xDrive20d,2019,5282,$1041.27,39.47mpg,75350.55,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
3093,BMW X4 M Sport X xDrive20d,2019,5282,$1041.27,39.47mpg,75350.55,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
4335,BMW X4 M Sport X xDrive20d,2019,5282,$1041.27,39.47mpg,75350.55,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
1111,BMW X4 M Sport X xDrive20d,2019,5282,$1041.27,39.47mpg,75350.55,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
4230,BMW X4 M Sport X xDrive20d,2019,5282,$1041.27,39.47mpg,75350.55,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
6974,BMW X4 M Sport X xDrive20d,2019,5282,$1041.27,39.47mpg,75350.55,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
1149,BMW X4 M Sport X xDrive20d,2019,5282,$1041.27,39.47mpg,75350.55,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
7930,Volvo S90 D4 Inscription BSIV,2019,10563,$520.69,42.34mpg,75350.55,Individual,First Owner,Automatic,1969 CC,400Nm,5.0,Diesel
2678,BMW X4 M Sport X xDrive20d,2019,5282,$1041.27,39.47mpg,75350.55,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
1872,BMW X4 M Sport X xDrive20d,2019,5282,$1041.27,39.47mpg,75350.55,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
6181,BMW X4 M Sport X xDrive20d,2019,5282,$1041.27,39.47mpg,75350.55,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
661,BMW X4 M Sport X xDrive20d,2019,5282,$1041.27,39.47mpg,75350.55,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
1130,BMW X4 M Sport X xDrive20d,2019,5282,$1041.27,39.47mpg,75350.55,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
4270,BMW X4 M Sport X xDrive20d,2019,5282,$1041.27,39.47mpg,75350.55,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
7516,Volvo XC60 Inscription D5 BSIV,2018,31068,$177.03,26.34mpg,75350.55,Individual,First Owner,Automatic,1969 CC,480Nm,5.0,Diesel
5098,BMW X4 M Sport X xDrive20d,2019,5282,$1041.27,39.47mpg,75350.55,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
2645,BMW X4 M Sport X xDrive20d,2019,5282,$1041.27,39.47mpg,75350.55,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
6569,BMW X4 M Sport X xDrive20d,2019,5282,$1041.27,39.47mpg,75350.55,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
5253,BMW X4 M Sport X xDrive20d,2019,5282,$1041.27,39.47mpg,75350.55,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
6704,BMW X4 M Sport X xDrive20d,2019,5282,$1041.27,39.47mpg,75350.55,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
4753,BMW 6 Series GT 630d Luxury Line,2018,13670,$402.34,40.2mpg,75350.55,Individual,First Owner,Automatic,2993 CC,620Nm@ 2000-2500rpm,4.0,Diesel
4429,BMW X4 M Sport X xDrive20d,2019,5282,$1041.27,39.47mpg,75350.55,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
3846,BMW X4 M Sport X xDrive20d,2019,5282,$1041.27,39.47mpg,75350.55,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
3423,BMW X4 M Sport X xDrive20d,2019,5282,$1041.27,39.47mpg,75350.55,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
385,BMW X4 M Sport X xDrive20d,2019,5282,$1041.27,39.47mpg,75350.55,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
6588,BMW X4 M Sport X xDrive20d,2019,5282,$1041.27,39.47mpg,75350.55,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
424,BMW X4 M Sport X xDrive20d,2019,5282,$1041.27,39.47mpg,75350.55,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
1148,BMW X4 M Sport X xDrive20d,2019,4660,$1158.8,39.47mpg,73980.54,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
384,BMW X4 M Sport X xDrive20d,2019,4660,$1158.8,39.47mpg,73980.54,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
6973,BMW X4 M Sport X xDrive20d,2019,4660,$1158.8,39.47mpg,73980.54,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
