,model,selling_price,mileage
0,2014 Maruti Swift Dzire VDI,450000,23.4 kmpl
1,2014 Skoda Rapid 1.5 TDI Ambition,370000,21.14 kmpl
2,2006 Honda City 2017-2020 EXi,158000,17.7 kmpl
3,2010 Hyundai i20 Sportz Diesel,225000,23.0 kmpl
4,2007 Maruti Swift VXI BSIII,130000,16.1 kmpl
5,2017 Hyundai Xcent 1.2 VTVT E Plus,440000,20.14 kmpl
6,2007 Maruti Wagon R LXI DUO BSIII,96000,17.3 km/kg
7,2001 Maruti 800 DX BSII,45000,16.1 kmpl
8,2011 Toyota Etios VXD,350000,23.59 kmpl
9,2013 Ford Figo Diesel Celebration Edition,200000,20.0 kmpl
10,2014 Renault Duster 110PS Diesel RxL,500000,19.01 kmpl
11,2005 Maruti Zen LX,92000,17.3 kmpl
12,2009 Maruti Swift Dzire VDi,280000,19.3 kmpl
13,2007 Maruti Swift 1.3 VXi,200000,
14,2009 Maruti Wagon R LXI Minor,180000,18.9 kmpl
15,2016 Mahindra KUV 100 mFALCON G80 K8 5str,400000,18.15 kmpl
16,2016 Maruti Ertiga SHVS VDI,778000,24.52 kmpl
17,2012 Hyundai i20 1.4 CRDi Asta,500000,23.0 kmpl
18,2002 Maruti Alto LX,150000,19.7 kmpl
19,2016 Hyundai i20 2015-2017 Asta 1.4 CRDi,680000,22.54 kmpl
20,2011 Mahindra Verito 1.5 D4 BSIII,174000,21.0 kmpl
21,2017 Honda WR-V i-DTEC VX,950000,25.5 kmpl
22,2015 Maruti Swift Dzire ZDI,525000,26.59 kmpl
23,2012 Maruti SX4 ZDI,600000,21.5 kmpl
24,2018 Tata Tigor 2017-2020 XZ,500000,20.3 kmpl
25,2016 Maruti Baleno Delta 1.2,575000,21.4 kmpl
26,2017 Maruti Alto 800 LXI,275000,24.7 kmpl
27,2013 Chevrolet Enjoy TCDi LTZ 7 Seater,300000,18.2 kmpl
28,2009 Maruti Wagon R LXI Minor,220000,18.9 kmpl
29,2018 Maruti Omni E MPI STD BS IV,254999,16.8 kmpl
30,2017 Maruti Vitara Brezza LDi Option,670000,24.3 kmpl
31,2003 Fiat Palio 1.2 ELX,70000,
32,2012 Maruti Omni 8 Seater BSIV,150000,14.0 kmpl
33,2018 Hyundai i20 1.2 Asta Dual Tone,730000,18.6 kmpl
34,2017 Maruti Vitara Brezza LDi,650000,24.3 kmpl
35,2019 Maruti Alto 800 CNG LXI Optional,330000,33.44 km/kg
36,2019 Maruti Alto K10 VXI Airbag,366000,23.95 kmpl
37,2019 Hyundai Verna VTVT 1.6 SX Option,1149000,17.0 kmpl
38,2016 Datsun GO D,150000,20.63 kmpl
39,2011 Tata Safari DICOR 2.2 LX 4x2,425000,13.93 kmpl
40,2012 Maruti 800 Std,150000,16.1 kmpl
41,2019 Jeep Compass 1.4 Limited Plus BSIV,2100000,16.0 kmpl
42,2018 Honda City i VTEC VX,925000,17.8 kmpl
43,2013 Honda City V MT,425000,16.8 kmpl
44,2018 Maruti Swift Dzire VXi AT,675000,18.5 kmpl
45,2018 Maruti Vitara Brezza VDi,819999,24.3 kmpl
46,2018 Maruti Alto K10 VXI,390000,23.95 kmpl
47,2014 Toyota Fortuner 4x4 MT,1500000,12.55 kmpl
48,2013 Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,700000,12.99 kmpl
49,2014 Mercedes-Benz B Class B180,1450000,14.8 kmpl
50,2015 Honda Amaze S Diesel,425000,24.7 kmpl
51,2013 Mitsubishi Pajero Sport 4X4,1090000,13.5 kmpl
52,2015 Honda City i DTEC S,600000,26.0 kmpl
53,2018 Maruti Ciaz Zeta,850000,20.65 kmpl
54,2015 Honda Jazz VX Diesel,525000,27.3 kmpl
55,2016 Toyota Innova Crysta 2.8 ZX AT BSIV,1650000,11.36 kmpl
56,2016 Toyota Innova 2.5 G (Diesel) 7 Seater,950000,12.99 kmpl
57,2013 Audi A6 2.0 TDI Technology,1750000,17.68 kmpl
58,2018 Toyota Corolla Altis 1.8 VL CVT,1590000,14.28 kmpl
59,2013 Audi A6 2.0 TDI  Design Edition,1689999,18.53 kmpl
60,2013 Mercedes-Benz New C-Class 220 CDI AT,1425000,14.84 kmpl
61,2011 Tata Manza ELAN Quadrajet BS IV,265000,21.12 kmpl
62,2011 Hyundai i10 Magna,190000,20.36 kmpl
63,2013 Hyundai i20 Asta 1.4 CRDi,425000,21.27 kmpl
64,2015 Maruti Swift Dzire ZDI,630000,26.59 kmpl
65,2017 Ford Figo 1.2P Titanium MT,600000,18.16 kmpl
66,2019 Maruti Baleno Delta 1.2,650000,21.4 kmpl
67,2016 Volkswagen Ameo 1.5 TDI Highline 16 Alloy,540000,22.0 kmpl
68,2015 Honda City i DTEC VX,630000,25.1 kmpl
69,2018 Maruti Wagon R AMT VXI,448000,20.51 kmpl
70,2017 Volkswagen Ameo 1.5 TDI Comfortline,500000,21.66 kmpl
71,2016 Maruti Vitara Brezza VDi,745000,24.3 kmpl
72,2019 Maruti Vitara Brezza ZDi Plus AMT,1025000,24.3 kmpl
73,2011 Hyundai i10 Magna,235000,20.36 kmpl
74,2016 Maruti Swift VDI Deca,630000,25.2 kmpl
75,2015 Toyota Fortuner 4x4 MT,1700000,12.55 kmpl
76,2013 Maruti Swift Star VDI,450000,22.9 kmpl
77,2012 Maruti Ertiga ZXI,450000,16.02 kmpl
78,2003 Tata Indica DLS,50000,
79,2013 Volkswagen Vento Diesel Highline,450000,20.54 kmpl
80,2016 Toyota Innova 2.5 VX (Diesel) 8 Seater,1200000,12.99 kmpl
81,2015 Ford EcoSport 1.5 TDCi Titanium Plus BSIV,610000,22.77 kmpl
82,2016 BMW X1 sDrive20i xLine,2500000,15.71 kmpl
83,2017 Maruti Celerio ZXI MT BSIV,484999,23.1 kmpl
84,2016 Datsun GO A Petrol,275000,19.02 kmpl
85,2016 Maruti Alto 800 VXI BSIV,315000,24.7 kmpl
86,2016 Maruti Alto 800 LXI BSIV,275000,24.7 kmpl
87,2015 Maruti Swift VDI BSIV W ABS,475000,
88,2012 Hyundai i10 Era 1.1,290000,19.81 kmpl
89,2017 Maruti Omni 8 Seater BSIV,280000,14.0 kmpl
90,2010 Maruti Wagon R LXI LPG BSIV,225000,26.2 km/kg
91,2015 Volkswagen Polo 1.2 MPI Comfortline,455000,16.47 kmpl
92,2015 Hyundai i10 Magna 1.1L,351000,19.81 kmpl
93,2012 Volkswagen Vento Petrol Highline,535000,15.04 kmpl
94,2009 Maruti Zen Estilo LXI BSIII,175000,18.2 kmpl
95,2013 Hyundai i20 Asta Optional with Sunroof 1.2,525000,18.5 kmpl
96,2016 Maruti Swift Dzire LDI,600000,26.59 kmpl
97,2016 Hyundai Xcent 1.2 Kappa SX Option AT,565000,19.1 kmpl
98,2008 Maruti Alto LX BSIII,120000,19.7 kmpl
99,2017 Hyundai i20 1.4 Asta Option,725000,22.54 kmpl
100,2009 Maruti Wagon R VXI,185000,21.79 kmpl
101,2010 Tata Manza Aura (ABS) Quadrajet,200000,18.8 kmpl
102,2019 Maruti Swift VXI,615000,21.21 kmpl
103,2016 Maruti Eeco 7 Seater Standard BSIV,270000,15.37 kmpl
