,model,km_driven,seller_type,transmission,owner,engine,max_power,torque,seats,LPG,CNG,Petrol,Diesel
0,2014 Maruti Swift Dzire VDI,145500,Individual,Manual,1,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,False,False,False,True
1,2014 Skoda Rapid 1.5 TDI Ambition,120000,Individual,Manual,Second Owner,1498 CC,103.52 bhp,250Nm@ 1500-2500rpm,5.0,False,False,False,True
2,2006 Honda City 2017-2020 EXi,140000,Individual,Manual,Third Owner,1497 CC,78 bhp,"12.7@ 2,700(kgm@ rpm)",5.0,False,False,True,False
3,2010 Hyundai i20 Sportz Diesel,127000,Individual,Manual,First Owner,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5.0,False,False,False,True
4,2007 Maruti Swift VXI BSIII,120000,Individual,Manual,First Owner,1298 CC,88.2 bhp,"11.5@ 4,500(kgm@ rpm)",5.0,False,False,True,False
5,2017 Hyundai Xcent 1.2 VTVT E Plus,45000,Individual,Manual,1,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5.0,False,False,True,False
6,2007 Maruti Wagon R LXI DUO BSIII,175000,Individual,Manual,First Owner,1061 CC,57.5 bhp,"7.8@ 4,500(kgm@ rpm)",5.0,True,False,False,False
7,2001 Maruti 800 DX BSII,5000,Individual,Manual,Second Owner,796 CC,37 bhp,59Nm@ 2500rpm,4.0,False,False,True,False
8,2011 Toyota Etios VXD,90000,Individual,Manual,First Owner,1364 CC,67.1 bhp,170Nm@ 1800-2400rpm,5.0,False,False,False,True
9,2013 Ford Figo Diesel Celebration Edition,169000,Individual,Manual,First Owner,1399 CC,68.1 bhp,160Nm@ 2000rpm,5.0,False,False,False,True
10,2014 Renault Duster 110PS Diesel RxL,68000,Individual,Manual,2,1461 CC,108.45 bhp,248Nm@ 2250rpm,5.0,False,False,False,True
11,2005 Maruti Zen LX,100000,Individual,Manual,Second Owner,993 CC,60 bhp,78Nm@ 4500rpm,5.0,False,False,True,False
12,2009 Maruti Swift Dzire VDi,140000,Individual,Manual,Second Owner,1248 CC,73.9 bhp,190Nm@ 2000rpm,5.0,False,False,False,True
13,2007 Maruti Swift 1.3 VXi,80000,Individual,Manual,Second Owner,,,,,False,False,True,False
14,2009 Maruti Wagon R LXI Minor,90000,Individual,Manual,Second Owner,1061 CC,67 bhp,84Nm@ 3500rpm,5.0,False,False,True,False
15,2016 Mahindra KUV 100 mFALCON G80 K8 5str,40000,Individual,Manual,1,1198 CC,82 bhp,115Nm@ 3500-3600rpm,5.0,False,False,True,False
16,2016 Maruti Ertiga SHVS VDI,70000,Individual,Manual,Second Owner,1248 CC,88.5 bhp,200Nm@ 1750rpm,7.0,False,False,False,True
17,2012 Hyundai i20 1.4 CRDi Asta,53000,Individual,Manual,Second Owner,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5.0,False,False,False,True
18,2002 Maruti Alto LX,80000,Individual,Manual,Second Owner,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,False,False,True,False
19,2016 Hyundai i20 2015-2017 Asta 1.4 CRDi,100000,Individual,Manual,First Owner,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5.0,False,False,False,True
20,2011 Mahindra Verito 1.5 D4 BSIII,100000,Individual,Manual,2,1461 CC,64.1 bhp,160Nm@ 2000rpm,5.0,False,False,False,True
21,2017 Honda WR-V i-DTEC VX,50000,Individual,Manual,First Owner,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0,False,False,False,True
22,2015 Maruti Swift Dzire ZDI,40000,Individual,Manual,First Owner,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,False,False,False,True
23,2012 Maruti SX4 ZDI,72000,Individual,Manual,First Owner,1248 CC,88.8 bhp,200Nm@ 1750rpm,5.0,False,False,False,True
24,2018 Tata Tigor 2017-2020 XZ,35000,Individual,Manual,First Owner,1199 CC,83.81 bhp,114Nm@ 3500rpm,5.0,False,False,True,False
25,2016 Maruti Baleno Delta 1.2,45000,Individual,Manual,1,1197 CC,83.1 bhp,115Nm@ 4000rpm,5.0,False,False,True,False
26,2017 Maruti Alto 800 LXI,28000,Individual,Manual,First Owner,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0,False,False,True,False
27,2013 Chevrolet Enjoy TCDi LTZ 7 Seater,70000,Individual,Manual,First Owner,1248 CC,73.8 bhp,172.5Nm@ 1750rpm,7.0,False,False,False,True
28,2009 Maruti Wagon R LXI Minor,120000,Individual,Manual,First Owner,1061 CC,67 bhp,84Nm@ 3500rpm,5.0,False,False,True,False
29,2018 Maruti Omni E MPI STD BS IV,25000,Individual,Manual,First Owner,796 CC,34.2 bhp,59Nm@ 2500rpm,8.0,False,False,True,False
30,2017 Maruti Vitara Brezza LDi Option,70000,Individual,Manual,1,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,False,False,False,True
31,2003 Fiat Palio 1.2 ELX,50000,Individual,Manual,Second Owner,,,,,False,False,True,False
32,2012 Maruti Omni 8 Seater BSIV,35000,Individual,Manual,Second Owner,796 CC,35 bhp,6.1kgm@ 3000rpm,5.0,False,False,True,False
33,2018 Hyundai i20 1.2 Asta Dual Tone,2388,Individual,Manual,First Owner,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0,False,False,True,False
34,2017 Maruti Vitara Brezza LDi,16200,Individual,Manual,First Owner,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,False,False,False,True
35,2019 Maruti Alto 800 CNG LXI Optional,10000,Individual,Manual,2,796 CC,40.3 bhp,60Nm@ 3500rpm,4.0,False,True,False,False
36,2019 Maruti Alto K10 VXI Airbag,15000,Individual,Manual,First Owner,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0,False,False,True,False
37,2019 Hyundai Verna VTVT 1.6 SX Option,5000,Individual,Manual,First Owner,1591 CC,121.3 bhp,151Nm@ 4850rpm,5.0,False,False,True,False
38,2016 Datsun GO D,42000,Individual,Manual,First Owner,1198 CC,67 bhp,104Nm@ 4000rpm,5.0,False,False,True,False
39,2011 Tata Safari DICOR 2.2 LX 4x2,60000,Individual,Manual,Second Owner,2179 CC,138.03 bhp,320Nm@ 1700-2700rpm,7.0,False,False,False,True
40,2012 Maruti 800 Std,76000,Individual,Manual,1,796 CC,37 bhp,59Nm@ 2500rpm,4.0,False,False,True,False
41,2019 Jeep Compass 1.4 Limited Plus BSIV,5000,Individual,Automatic,First Owner,1368 CC,160.77 bhp,250Nm@ 1750-2500rpm,5.0,False,False,True,False
42,2018 Honda City i VTEC VX,28900,Dealer,Manual,First Owner,1497 CC,117.3 bhp,145Nm@ 4600rpm,5.0,False,False,True,False
43,2013 Honda City V MT,86300,Dealer,Manual,First Owner,1497 CC,116.3 bhp,146Nm@ 4800rpm,5.0,False,False,True,False
